observation_date,NORPRINTO01IXOBM
1974-04-01,37.82323
1974-05-01,40.68863
1974-06-01,44.12710
1974-07-01,26.36164
1974-08-01,42.98094
1974-09-01,44.70018
1974-10-01,46.99250
1974-11-01,48.13865
1974-12-01,38.96939
1975-01-01,42.40786
1975-02-01,46.41942
1975-03-01,46.99250
1975-04-01,40.68863
1975-05-01,41.83478
1975-06-01,46.99250
1975-07-01,28.65396
1975-08-01,44.12710
1975-09-01,48.71173
1975-10-01,49.28481
1975-11-01,49.85789
1975-12-01,41.83478
1976-01-01,45.84634
1976-02-01,50.43097
1976-03-01,50.43097
1976-04-01,41.26170
1976-05-01,42.98094
1976-06-01,47.56557
1976-07-01,29.80012
1976-08-01,48.13865
1976-09-01,51.57713
1976-10-01,52.15021
1976-11-01,51.00405
1976-12-01,46.99250
1977-01-01,49.85789
1977-02-01,51.57713
1977-03-01,51.00405
1977-04-01,40.68863
1977-05-01,39.54247
1977-06-01,46.99250
1977-07-01,25.78856
1977-08-01,45.27326
1977-09-01,49.28481
1977-10-01,52.15021
1977-11-01,53.86945
1977-12-01,50.43097
1978-01-01,53.29637
1978-02-01,55.01561
1978-03-01,54.44253
1978-04-01,47.56557
1978-05-01,45.27326
1978-06-01,51.00405
1978-07-01,32.66552
1978-08-01,51.57713
1978-09-01,55.58868
1978-10-01,56.16176
1978-11-01,58.45408
1978-12-01,52.15021
1979-01-01,55.01561
1979-02-01,57.30792
1979-03-01,56.73484
1979-04-01,49.85789
1979-05-01,51.57713
1979-06-01,53.86945
1979-07-01,36.67707
1979-08-01,56.16176
1979-09-01,60.74640
1979-10-01,59.02716
1979-11-01,64.18488
1979-12-01,57.30792
1980-01-01,62.46563
1980-02-01,65.90411
1980-03-01,62.46563
1980-04-01,55.58868
1980-05-01,55.58868
1980-06-01,60.17332
1980-07-01,33.23859
1980-08-01,55.58868
1980-09-01,57.30792
1980-10-01,59.60024
1980-11-01,62.46563
1980-12-01,56.16176
1981-01-01,59.02716
1981-02-01,62.46563
1981-03-01,61.89256
1981-04-01,55.01561
1981-05-01,56.16176
1981-06-01,59.02716
1981-07-01,42.98094
1981-08-01,47.56557
1981-09-01,59.02716
1981-10-01,57.30792
1981-11-01,63.03872
1981-12-01,57.30792
1982-01-01,61.89256
1982-02-01,64.18488
1982-03-01,63.61179
1982-04-01,56.73484
1982-05-01,52.72329
1982-06-01,56.73484
1982-07-01,40.63132
1982-08-01,52.72329
1982-09-01,54.95830
1982-10-01,55.76061
1982-11-01,62.92410
1982-12-01,59.02716
1983-01-01,61.31948
1983-02-01,66.47719
1983-03-01,67.62334
1983-04-01,57.88100
1983-05-01,57.88100
1983-06-01,63.03872
1983-07-01,47.56557
1983-08-01,57.88100
1983-09-01,61.89256
1983-10-01,66.47719
1983-11-01,69.34258
1983-12-01,64.75795
1984-01-01,69.91566
1984-02-01,69.91566
1984-03-01,69.34258
1984-04-01,62.46563
1984-05-01,63.61179
1984-06-01,65.90411
1984-07-01,48.59712
1984-08-01,61.26217
1984-09-01,66.87834
1984-10-01,70.03028
1984-11-01,73.52606
1984-12-01,67.62334
1985-01-01,72.20798
1985-02-01,74.50030
1985-03-01,73.92722
1985-04-01,67.05027
1985-05-01,65.90411
1985-06-01,65.90411
1985-07-01,54.44253
1985-08-01,65.90411
1985-09-01,69.91566
1985-10-01,73.92722
1985-11-01,77.93877
1985-12-01,72.78106
1986-01-01,74.40656
1986-02-01,70.92046
1986-03-01,75.06020
1986-04-01,70.59363
1986-05-01,66.78070
1986-06-01,71.02940
1986-07-01,59.91743
1986-08-01,73.75291
1986-09-01,69.72211
1986-10-01,76.69431
1986-11-01,77.67478
1986-12-01,75.93173
1987-01-01,81.92347
1987-02-01,74.18867
1987-03-01,77.89266
1987-04-01,73.75291
1987-05-01,74.84232
1987-06-01,69.83105
1987-07-01,59.80849
1987-08-01,72.55457
1987-09-01,76.36749
1987-10-01,81.59665
1987-11-01,80.83407
1987-12-01,76.14961
1988-01-01,80.50724
1988-02-01,76.25855
1988-03-01,80.07148
1988-04-01,77.13008
1988-05-01,73.64397
1988-06-01,72.00986
1988-07-01,58.93697
1988-08-01,71.79198
1988-09-01,79.74466
1988-10-01,83.77547
1988-11-01,84.97382
1988-12-01,79.74466
1989-01-01,85.40958
1989-02-01,79.63572
1989-03-01,87.47945
1989-04-01,83.23077
1989-05-01,81.70559
1989-06-01,83.23077
1989-07-01,67.87011
1989-08-01,82.46818
1989-09-01,85.73640
1989-10-01,91.72814
1989-11-01,90.52979
1989-12-01,83.55759
1990-01-01,88.89568
1990-02-01,83.88441
1990-03-01,87.91521
1990-04-01,82.57712
1990-05-01,84.86488
1990-06-01,86.82581
1990-07-01,71.13834
1990-08-01,86.06322
1990-09-01,87.15263
1990-10-01,95.10531
1990-11-01,94.99637
1990-12-01,86.71687
1991-01-01,93.36226
1991-02-01,88.67780
1991-03-01,92.81755
1991-04-01,86.60793
1991-05-01,89.11356
1991-06-01,87.58839
1991-07-01,69.39528
1991-08-01,79.09101
1991-09-01,90.74768
1991-10-01,93.90696
1991-11-01,93.90696
1991-12-01,88.89568
1992-01-01,96.19472
1992-02-01,88.67780
1992-03-01,96.41260
1992-04-01,92.49073
1992-05-01,91.07450
1992-06-01,93.14437
1992-07-01,76.25855
1992-08-01,93.03543
1992-09-01,94.12484
1992-10-01,99.46294
1992-11-01,98.37354
1992-12-01,94.45167
1993-01-01,94.34272
1993-02-01,90.96556
1993-03-01,100.22550
1993-04-01,94.66955
1993-05-01,94.77849
1993-06-01,91.72814
1993-07-01,80.50724
1993-08-01,96.19472
1993-09-01,97.28413
1993-10-01,106.76200
1993-11-01,107.74240
1993-12-01,101.53280
1994-01-01,108.17820
1994-02-01,102.18650
1994-03-01,104.80100
1994-04-01,99.46294
1994-05-01,101.42390
1994-06-01,105.45470
1994-07-01,85.40958
1994-08-01,93.68908
1994-09-01,103.16690
1994-10-01,112.31800
1994-11-01,113.18950
1994-12-01,108.06930
1995-01-01,111.66430
1995-02-01,103.92950
1995-03-01,111.66430
1995-04-01,106.65300
1995-05-01,107.41560
1995-06-01,105.23680
1995-07-01,92.38179
1995-08-01,105.78150
1995-09-01,110.57490
1995-10-01,117.43820
1995-11-01,119.50800
1995-12-01,115.47720
1996-01-01,121.36000
1996-02-01,117.00240
1996-03-01,117.22030
1996-04-01,113.18950
1996-05-01,109.81230
1996-06-01,114.93250
1996-07-01,99.13612
1996-08-01,114.38780
1996-09-01,115.36830
1996-10-01,118.74550
1996-11-01,120.92430
1996-12-01,116.23980
1997-01-01,123.10310
1997-02-01,116.02190
1997-03-01,121.90470
1997-04-01,116.67560
1997-05-01,117.54710
1997-06-01,116.56660
1997-07-01,102.84010
1997-08-01,113.95210
1997-09-01,118.41860
1997-10-01,129.20380
1997-11-01,127.13390
1997-12-01,122.01370
1998-01-01,125.49980
1998-02-01,117.00240
1998-03-01,123.64780
1998-04-01,119.72590
1998-05-01,114.60570
1998-06-01,118.85440
1998-07-01,99.89870
1998-08-01,109.70340
1998-09-01,118.20080
1998-10-01,124.08360
1998-11-01,123.21200
1998-12-01,115.91300
1999-01-01,123.10310
1999-02-01,115.15040
1999-03-01,121.03320
1999-04-01,111.99110
1999-05-01,113.51630
1999-06-01,112.97160
1999-07-01,104.25630
1999-08-01,116.13090
1999-09-01,114.16990
1999-10-01,121.90470
1999-11-01,126.26240
1999-12-01,125.28190
2000-01-01,125.79520
2000-02-01,123.23510
2000-03-01,133.35920
2000-04-01,113.11090
2000-05-01,121.25680
2000-06-01,116.13650
2000-07-01,110.43440
2000-08-01,119.27850
2000-09-01,117.30020
2000-10-01,129.40260
2000-11-01,127.42440
2000-12-01,122.65320
2001-01-01,130.68270
2001-02-01,117.76570
2001-03-01,130.68270
2001-04-01,115.20560
2001-05-01,114.15830
2001-06-01,114.97280
2001-07-01,101.24130
2001-08-01,119.16210
2001-09-01,118.92940
2001-10-01,130.10090
2001-11-01,131.03180
2001-12-01,124.98060
2002-01-01,129.05350
2002-02-01,122.18770
2002-03-01,114.15830
2002-04-01,127.88980
2002-05-01,121.48950
2002-06-01,117.30020
2002-07-01,106.59430
2002-08-01,116.95110
2002-09-01,111.24900
2002-10-01,127.54070
2002-11-01,124.63150
2002-12-01,116.60200
2003-01-01,123.93330
2003-02-01,115.43830
2003-03-01,125.21330
2003-04-01,112.52910
2003-05-01,114.04190
2003-06-01,107.40880
2003-07-01,108.33980
2003-08-01,111.01630
2003-09-01,112.29640
2003-10-01,125.79520
2003-11-01,122.76960
2003-12-01,121.25680
2004-01-01,123.46780
2004-02-01,118.23120
2004-03-01,128.47170
2004-04-01,112.18000
2004-05-01,115.32200
2004-06-01,118.11480
2004-07-01,104.84870
2004-08-01,103.10320
2004-09-01,110.31810
2004-10-01,122.76960
2004-11-01,123.35140
2004-12-01,115.90380
2005-01-01,117.99850
2005-02-01,113.92550
2005-03-01,118.11480
2005-04-01,121.48950
2005-05-01,118.34760
2005-06-01,109.27080
2005-07-01,101.35760
2005-08-01,116.02020
2005-09-01,115.78740
2005-10-01,119.74400
2005-11-01,124.98060
2005-12-01,119.27850
2006-01-01,123.11870
